INFO:root:Bryce's Linux Server Acct | Pypy v7.2.0
INFO:root:random seed is 1575571491
INFO:root:play_3: team 1 players are PartneredAI, non-communicating, using iterative deepening to max_depth 4/max_states 1000000, with basic material evaluation and random move reordering; team 2 players are PartneredAI, non-communicating, using iterative deepening to max_depth 4/max_states 1000000, with position evaluation
INFO:root:move: whiteA moved g1h3
INFO:root:move: whiteB moved g1f3
INFO:root:move: blackA moved e7e5
INFO:root:move: blackB moved f7f6
INFO:root:move: whiteA moved h3g1
INFO:root:move: whiteB moved b1c3
INFO:root:move: blackA moved g8f6
INFO:root:move: blackB moved c7c6
INFO:root:move: whiteA moved g1h3
INFO:root:move: whiteB moved e2e4
INFO:root:move: blackA moved f6e4
INFO:root:move: blackB moved g8h6
INFO:root:move: whiteA moved b1c3
INFO:root:move: whiteB moved d2d4
INFO:root:move: blackA moved d7d5
INFO:root:move: blackB moved d8c7
INFO:root:move: whiteA moved h3g1
INFO:root:move: whiteB moved c1h6
INFO:root:move: blackA moved N@d4
INFO:root:move: blackB moved g7h6
INFO:root:move: whiteA moved B@a4
INFO:root:move: whiteB moved d1d2
INFO:root:move: blackA moved e8e7
INFO:root:move: blackB moved h8g8
INFO:root:move: whiteA moved c3b5
INFO:root:move: whiteB moved b2b4
INFO:root:move: blackA moved d4b5
INFO:root:move: blackB moved b8a6
INFO:root:move: whiteA moved a4b5
INFO:root:move: whiteB moved f1a6
INFO:root:move: blackA moved N@c5
INFO:root:move: blackB moved b7a6
INFO:root:move: whiteA moved B@a3
INFO:root:move: whiteB moved N@e3
INFO:root:move: blackA moved c8g4
INFO:root:move: blackB moved N@f4
INFO:root:move: whiteA moved f2f3
INFO:root:move: whiteB moved e1g1
INFO:root:move: blackA moved g4d7
INFO:root:move: blackB moved g8g7
INFO:root:move: whiteA moved f3e4
INFO:root:move: whiteB moved b4b5
INFO:root:move: blackA moved e7e8
INFO:root:move: blackB moved N@b2
INFO:root:move: whiteA moved b5d7
INFO:root:move: whiteB moved b5c6
INFO:root:move: blackA moved b8d7
INFO:root:move: blackB moved f4h3
INFO:root:move: whiteA moved e4d5
INFO:root:move: whiteB moved g1h1
INFO:root:move: blackA moved f8d6
INFO:root:move: blackB moved B@h5
INFO:root:move: whiteA moved g1f3
INFO:root:move: whiteB moved B@a3
INFO:root:move: blackA moved c5e4
INFO:root:move: blackB moved c7c6
INFO:root:move: whiteA moved P@f2
INFO:root:move: whiteB moved a3b2
INFO:root:move: blackA moved d6a3
INFO:root:move: blackB moved P@e2
INFO:root:move: whiteA moved b2a3
INFO:root:move: whiteB moved c3e2
INFO:root:move: blackA moved N@c4
INFO:root:move: blackB moved B@c1
INFO:root:move: whiteA moved f3e5
INFO:root:move: whiteB moved e2c1
INFO:root:move: blackA moved d8f6
INFO:root:move: blackB moved P@e2
INFO:root:move: whiteA moved e5g4
INFO:root:move: whiteB moved c1e2
INFO:root:move: blackA moved f6a1
INFO:root:move: blackB moved h5f3
INFO:root:move: whiteA moved N@b3
INFO:root:move: whiteB moved g2f3
INFO:root:move: blackA moved a1a2
INFO:root:move: blackB moved g7g1
